Comment,Designator,Footprint,LCSC,Quantity
Jumper_2_Bridged,JP42,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP15,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP60,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP34,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP80,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP67,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP82,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP11,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP23,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP77,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP27,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP39,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP3,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP17,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP5,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP63,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP86,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP51,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP68,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP38,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP75,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP65,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP32,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP29,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP49,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP45,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP16,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP10,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP52,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP70,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP35,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP46,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP33,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP64,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP58,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP48,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP7,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP53,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP61,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP6,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP72,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP76,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP56,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP26,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP25,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP55,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP36,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP14,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
USB Only,JP50,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP89,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP20,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP30,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP24,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP43,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP57,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP54,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP9,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
GND_LP_SND,JP88,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP71,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP37,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP21,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
Jumper_2_Bridged,JP62,SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,,1
